link_stub,movie_title,rank_g_movies,lifetime_gross,rank_overall,year,domestic_total_gross,international_total_gross,worldwide_total_gross,domestic_opening,budget,release_date,runtime,distributor,genres,rating
/title/tt0396652/?ref_=bo_cso_table_139,Ice Princess,139,"$24,402,491","3,208",2005,"$24,402,491","$3,243,000","$27,645,491","$6,807,471",,2005-03-18,98.0,Walt Disney Studios Motion Pictures,"Comedy, Drama, Family, Sport",G
/title/tt0323642/?ref_=bo_cso_table_140,Piglet's Big Movie,140,"$23,103,423","3,295",2003,"$23,103,423","$39,767,123","$62,870,546","$6,097,758",,2003-03-21,75.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Musical, Mystery",
/title/tt0101329/?ref_=bo_cso_table_144,An American Tail: Fievel Goes West,144,"$22,166,041","3,380",1991,"$22,166,041","$18,600,000","$40,766,041","$3,435,625",,1991-11-22,75.0,Universal Pictures,"Adventure, Animation, Family, Musical, Western",
/title/tt1568921/?ref_=bo_cso_table_151,The Secret World of Arrietty,151,"$19,587,032","3,646",2012,"$19,587,032","$129,824,518","$149,411,550","$6,446,395",,2010-07-17,94.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Drama, Family, Fantasy",
/title/tt0361089/?ref_=bo_cso_table_152,Valiant,152,"$19,478,106","3,654",2005,"$19,478,106","$42,268,782","$61,746,888","$5,914,722","$35,000,000",2005-03-25,76.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, War",G
/title/tt0765128/?ref_=bo_cso_table_154,Oceans,154,"$19,422,319","3,661",2010,"$19,422,319","$63,668,237","$83,090,556","$6,058,958","$80,000,000",2010-01-22,104.0,Walt Disney Studios Motion Pictures,Documentary,
/title/tt1229827/?ref_=bo_cso_table_155,Jonas Brothers: The 3D Concert Experience,155,"$19,162,740","3,683",2009,"$19,162,740","$4,024,220","$23,186,960","$12,510,374",,2009-02-27,76.0,Walt Disney Studios Motion Pictures,"Documentary, Music",
/title/tt0407121/?ref_=bo_cso_table_160,Pooh's Heffalump Movie,160,"$18,098,433","3,789",2005,"$18,098,433","$34,760,000","$52,858,433","$5,805,559","$20,000,000",2005-02-04,68.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Musical, Mystery",G
/title/tt2458776/?ref_=bo_cso_table_162,Bears,162,"$17,780,194","3,817",2014,"$17,780,194","$3,536,551","$21,316,745","$4,776,267",,2014-04-17,78.0,Walt Disney Studios Motion Pictures,"Documentary, Family",
/title/tt0235679/?ref_=bo_cso_table_165,Pokémon 3 the Movie: Spell of the Unown,165,"$17,052,128","3,922",2001,"$17,052,128","$51,359,147","$68,411,275","$8,240,752","$16,000,000",2001-04-06,93.0,Warner Bros.,"Action, Adventure, Animation, Family, Fantasy, Sci-Fi",G
/title/tt0297144/?ref_=bo_cso_table_166,Ghosts of the Abyss,166,"$17,040,871","3,924",2003,"$17,040,871","$10,529,205","$27,570,076","$1,408,474",,2003-04-11,61.0,Walt Disney Studios Motion Pictures,"Documentary, Family",G
/title/tt0276033/?ref_=bo_cso_table_167,The Country Bears,167,"$16,990,825","3,934",2002,"$16,990,825","$1,021,272","$18,012,097","$5,309,675","$35,000,000",2002-07-26,88.0,Walt Disney Studios Motion Pictures,"Comedy, Family, Music, Musical",
/title/tt0158811/?ref_=bo_cso_table_168,Muppets from Space,168,"$16,625,807","3,971",1999,"$16,625,807","$5,697,805","$22,323,612","$4,826,049","$24,000,000",1999-07-14,87.0,Sony Pictures Entertainment (SPE),"Adventure, Comedy, Family, Fantasy, Sci-Fi",
/title/tt3660770/?ref_=bo_cso_table_169,Monkey Kingdom,169,"$16,432,322","3,988",2015,"$16,432,322","$407,341","$16,839,663","$4,577,861",,2015-04-17,81.0,Walt Disney Studios Motion Pictures,Documentary,
/title/tt0205461/?ref_=bo_cso_table_172,Thomas and the Magic Railroad,172,"$15,933,506","4,057",2000,"$15,933,506","$3,814,503","$19,748,009","$4,154,932",,2000-07-26,85.0,Destination Films,"Adventure, Comedy, Drama, Family, Fantasy",
/title/tt0876563/?ref_=bo_cso_table_173,Ponyo,173,"$15,743,471","4,072",2009,"$15,743,471","$189,083,197","$204,826,668","$3,585,852",,2008-07-19,101.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",
/title/tt2800050/?ref_=bo_cso_table_174,A Beautiful Planet,174,"$15,650,615","4,085",2016,"$15,650,615","$10,079,505","$25,730,120","$223,983",,2016-04-29,,IMAX,Documentary,
/title/tt0213749/?ref_=bo_cso_table_175,Cirque du Soleil: Journey of Man,175,"$15,627,434","4,088",2000,"$15,627,434","$11,912,376","$27,539,810","$49,837",,2000-05-05,,Sony Pictures Classics,"Drama, Family, Fantasy, Musical, Short",
/title/tt1223236/?ref_=bo_cso_table_176,African Cats,176,"$15,428,747","4,119",2011,"$15,428,747","$15,429,000","$30,857,747","$6,003,200",,2011-04-21,89.0,Walt Disney Studios Motion Pictures,"Adventure, Documentary",
/title/tt2073128/?ref_=bo_cso_table_181,To the Arctic 3D,181,"$14,560,838","4,238",2012,"$14,560,838","$9,134,550","$23,695,388","$270,228",,2012-04-20,,Warner Bros.,"Documentary, Short",G
/title/tt0430779/?ref_=bo_cso_table_182,Everyone's Hero,182,"$14,523,101","4,244",2006,"$14,523,101","$2,104,087","$16,627,188","$6,061,762",,2006-09-14,87.0,Twentieth Century Fox,"Adventure, Animation, Comedy, Drama, Family, Fantasy, Sport",
/title/tt4629266/?ref_=bo_cso_table_185,Born in China,185,"$13,873,211","4,344",2017,"$13,873,211","$11,207,957","$25,081,168","$4,790,367",,2016-08-12,79.0,Walt Disney Studios Motion Pictures,Documentary,G
/title/tt0486321/?ref_=bo_cso_table_186,Fly Me to the Moon 3D,186,"$13,816,982","4,352",2008,"$13,816,982","$32,834,432","$46,651,414","$1,900,523","$25,000,000",2008-01-30,84.0,Summit Entertainment,"Adventure, Animation, Family",G
/title/tt0475998/?ref_=bo_cso_table_190,The Pirates Who Don't Do Anything: A VeggieTales Movie,190,"$12,981,269","4,473",2008,"$12,981,269","$266,456","$13,247,725","$4,251,320",,2008-01-11,85.0,Universal Pictures,"Adventure, Animation, Comedy, Family, Fantasy",G
/title/tt0301727/?ref_=bo_cso_table_195,Winged Migration,195,"$11,689,053","4,647",2002,"$11,689,053","$22,439,261","$34,128,314",,,2001-12-12,98.0,Mongrel Media,Documentary,
/title/tt0112453/?ref_=bo_cso_table_199,Balto,199,"$11,348,324","4,701",1995,"$11,348,324",$766,"$11,349,090","$1,519,755",,1995-12-22,78.0,Universal Pictures,"Adventure, Animation, Drama, Family, History",
