international_total_gross,domestic_total_gross,rank,movie_title,max_theaters,opening_theathers,worldwide_total_gross,domestic_opening,budget,release_date,runtime,distributor,genres,rating,link_stub
17266048,2199787,889,Blue Is the Warmest Colour,142.0,4.0,19465835,100316,0,20131009,,IFC Films,Drama Romance,NC17,/title/tt2278871/?ref_=bo_ge_table_89
2993109,2193658,890,Oldboy,583.0,583.0,5186767,885382,30000000,20130103,104.0,FilmDistrict,Action Drama Mystery Thriller,R,/title/tt1321511/?ref_=bo_ge_table_90
2165637,2165637,891,A Dog of Flanders,1267.0,1267.0,0,807873,0,19990827,100.0,Warner Bros.,Drama Family,PG,/title/tt0160216/?ref_=bo_ge_table_91
2156471,2156471,892,Scenes from the Class Struggle in Beverly Hills,76.0,1.0,0,25635,0,19890602,103.0,Cinecom Pictures,Comedy,,/title/tt0098261/?ref_=bo_ge_table_92
181479,2072645,893,Strangers with Candy,109.0,2.0,2254124,43141,0,20060628,97.0,THINKFilm,Comedy,R,/title/tt0369994/?ref_=bo_ge_table_93
1919653,1919653,894,Communion,240.0,240.0,0,822123,0,19891110,109.0,New Line Cinema,Biography Drama Horror SciFi Thriller,,/title/tt0097100/?ref_=bo_ge_table_94
9142,1798862,895,Hurlyburly,84.0,16.0,1808004,164826,15000000,19981225,122.0,Fine Line Features,Comedy Drama,R,/title/tt0119336/?ref_=bo_ge_table_95
1753979,1753979,896,Carnosaur,65.0,65.0,0,142127,0,19930521,83.0,Concorde Pictures,Horror SciFi,R,/title/tt0106521/?ref_=bo_ge_table_96
1710972,1710972,898,Steel,1260.0,1260.0,0,870068,16000000,19970815,97.0,Warner Bros.,Action Adventure Crime Fantasy SciFi,PG13,/title/tt0120207/?ref_=bo_ge_table_98
1215761,1574258,899,After the Wedding,428.0,5.0,2790019,50264,0,20190809,112.0,Sony Pictures Classics,Drama,PG13,/title/tt7985692/?ref_=bo_ge_table_99
1330495,1521787,900,Inhumans,393.0,393.0,2852282,1135440,0,20170831,,IMAX,Action Adventure SciFi,,/title/tt4154858/?ref_=bo_ge_table_100
1498795,1498795,901,M. Butterfly,120.0,3.0,0,57280,0,19931001,101.0,Warner Bros.,Drama Romance,R,/title/tt0107468/?ref_=bo_ge_table_1
1494969,1494969,902,A Cry in the Wild,,,0,0,0,19900601,82.0,Concorde Pictures,Action Adventure Thriller,,/title/tt0099327/?ref_=bo_ge_table_2
1368000,1368000,903,Little Nemo: Adventures in Slumberland,579.0,579.0,0,407695,0,19920821,85.0,Hemdale,Adventure Animation Comedy Family Fantasy Musical,,/title/tt0104740/?ref_=bo_ge_table_3
1338264,1338264,904,GoBots: Battle of the Rock Lords,1045.0,1045.0,0,531905,0,19860321,75.0,Atlantic Releasing Corporation,Action Adventure Animation Family SciFi,,/title/tt0091123/?ref_=bo_ge_table_4
6643953,1294919,905,Funny Games,288.0,286.0,7938872,544833,0,20080314,111.0,Warner Independent Pictures (WIP),Crime Drama Thriller,R,/title/tt0808279/?ref_=bo_ge_table_5
