link_stub,rank,movie_title,lifetime_gross,max_theaters,opening_weekend,opening_theathers,release_date_x,distributor_x,domestic_total_gross,international_total_gross,worldwide_total_gross,domestic_opening,budget,release_date_y,runtime,distributor_y,genres,rating
/title/tt2369135/?ref_=bo_ge_table_67,467,Need for Speed,"$43,577,636","3,115","$17,844,939","3,115","Mar 14, 2014","Walt Disney Studios Motion Pictures

",43577636,159700000,203277636,17844939,66000000,2014-03-12,132.0,Walt Disney Studios Motion Pictures,"Action, Crime, Thriller",PG-13
/title/tt0477347/?ref_=bo_ge_table_62,62,Night at the Museum,"$250,863,268","3,768","$30,433,781","3,685","Dec 22, 2006","Twentieth Century Fox

",250863268,323617961,574481229,30433781,0,2006-12-21,108.0,Twentieth Century Fox,"Adventure, Comedy, Family, Fantasy",PG
/title/tt0100258/?ref_=bo_ge_table_40,840,Night of the Living Dead,"$5,835,247","1,544","$2,884,679","1,544","Oct 19, 1990","Columbia Pictures

",5835247,5835247,0,2884679,0,1990-10-19,92.0,Columbia Pictures,Horror,
/title/tt0489244/?ref_=bo_ge_table_34,934,Night of the Living Dead 3D,"$271,000",145,"$215,300",145,"Nov 10, 2006","Midnight Movies

",271000,1386729,1657729,215300,0,2006-11-10,80.0,Midnight Movies,Horror,R
/title/tt0093626/?ref_=bo_ge_table_10,910,Nightflyers,"$1,149,470",-,-,-,"Oct 23, 1987","New Century

",1149470,1149470,0,0,0,1987-10-23,89.0,New Century,"Horror, Mystery, Sci-Fi, Thriller",
/title/tt0119791/?ref_=bo_ge_table_9,909,Nightwatch,"$1,179,002",300,"$585,733",300,"Apr 17, 1998","Miramax

",1179002,1179002,0,585733,0,1998-04-17,101.0,Miramax,"Drama, Horror, Thriller",R
/title/tt0410377/?ref_=bo_ge_table_41,441,Nim's Island,"$48,006,762","3,518","$13,210,579","3,513","Apr 4, 2008","Twentieth Century Fox

",48006762,52097803,100104565,13210579,37000000,2008-04-03,96.0,Twentieth Century Fox,"Adventure, Comedy, Drama, Family, Fantasy",PG
/title/tt0113986/?ref_=bo_ge_table_26,326,Nine Months,"$69,684,532","1,795","$12,522,240","1,458","Jul 14, 1995","Twentieth Century Fox

",69684532,68825698,138510230,12522240,0,1995-07-14,103.0,Twentieth Century Fox,"Comedy, Romance",PG-13
/title/tt0955306/?ref_=bo_ge_table_29,929,Noah's Arc: Jumping the Broom,"$532,878",9,"$151,337",5,"Oct 24, 2008",-,532878,532878,0,151337,0,2008-10-24,101.0,Logo Features,"Drama, Romance",R
/title/tt0105017/?ref_=bo_ge_table_88,888,Noises Off...,"$2,280,148",451,"$981,452",451,"Mar 20, 1992","Walt Disney Studios Motion Pictures

",2280148,2280148,0,981452,0,1992-03-20,101.0,Walt Disney Studios Motion Pictures,Comedy,
/title/tt0144528/?ref_=bo_ge_table_79,179,Nutty Professor II: The Klumps,"$123,309,890","3,251","$42,518,830","3,242","Jul 28, 2000","Universal Pictures

",123309890,43030000,166339890,42518830,84000000,2000-07-28,106.0,Universal Pictures,"Comedy, Romance, Sci-Fi",PG-13
/title/tt1483013/?ref_=bo_ge_table_47,247,Oblivion,"$89,107,235","3,792","$37,054,485","3,783","Apr 19, 2013","Universal Pictures

",89107235,197061337,286168572,37054485,120000000,2013-04-10,124.0,Universal Pictures,"Action, Adventure, Sci-Fi",PG-13
/title/tt0496806/?ref_=bo_ge_table_83,183,Ocean's Thirteen,"$117,154,724","3,565","$36,133,403","3,565","Jun 8, 2007","Warner Bros.

",117154724,194157900,311312624,36133403,0,2007-06-06,122.0,Warner Bros.,"Crime, Thriller",PG-13
